Plus500 doubles up underlying profits in second half,https://www.proactiveinvestors.co.uk/companies/news/910011/plus500-doubles-up-underlying-profits-in-second-half-910011.html,2020-01-06 08:40:00,"The online CFD provider said revenue for last year was roughly US$354mln and EBITDA around US$190mln, in line with expectations"
"Bright Future, hollow Tullow - a review of the FTSE 350 winners and losers",https://www.proactiveinvestors.co.uk/companies/news/909794/bright-future-hollow-tullow---a-review-of-the-ftse-350-winners-and-losers-909794.html,2019-12-31 10:00:00,A look at the winners and losers in 2019 among the FTSE 350 stocks
Crypto 2020: predictions and investment ideas for the year ahead,https://www.proactiveinvestors.co.uk/companies/news/909468/crypto-2020-predictions-and-investment-ideas-for-the-year-ahead-909468.html,2019-12-31 08:00:00,"The next year is likely to bring many more ups and downs for the young industry, as well as for any investors that considering getting involved"
Clear Leisure has big plans for 2020,https://www.proactiveinvestors.co.uk/companies/news/909659/clear-leisure-has-big-plans-for-2020-909659.html,2019-12-20 13:12:00,In 2020 Clear Leisure is set to launch two projects to create 3D digital maps of Milan and London
Highway to royalties: Hipgnosis buys AC/DC producer's back catalogue,https://www.proactiveinvestors.co.uk/companies/news/909358/highway-to-royalties-hipgnosis-buys-acdc-producer-s-back-catalogue-909358.html,2019-12-17 10:13:00,"The catalogue includes AC/DC's 'Black Ice', The Killers album 'Battle Born' and Bruce Springsteen's Grammy award-winning album 'The Rising'"
Clear Leisure PLC to launch 'digital twins' projects for London and Milan,https://www.proactiveinvestors.co.uk/companies/news/909266/clear-leisure-plc-to-launch--digital-twins--projects-for-london-and-milan-909266.html,2019-12-16 12:28:00,
Clear Leisure to invest in 3D mapping of London and Milan,https://www.proactiveinvestors.co.uk/companies/news/909265/clear-leisure-to-invest-in-3d-mapping-of-london-and-milan-909265.html,2019-12-16 12:23:00,"Clear Leisure will establish two new Italian domiciled companies that will develop the maps, which will cost €5mln for London and €2mln for Milan"
Harbourvest Global Private Equity explains how it offers a public route into private markets,https://www.proactiveinvestors.co.uk/companies/news/909109/harbourvest-global-private-equity-explains-how-it-offers-a-public-route-into-private-markets-909109.html,2019-12-12 12:58:00,"Richard Hickman, Director of Investment and Operations, explains how Harbourvest Global Private Equity Limited offers public investors a route into the exciting opportunities in the private market sector - full transcript"
HarbourVest Global: 'Providing investors access to global portfolio of private companies',https://www.proactiveinvestors.co.uk/companies/news/908972/harbourvest-global--providing-investors-access-to-global-portfolio-of-private-companies--908972.html,2019-12-11 12:27:00,
Hipgnosis Songs Fund having a ball with decade's top pop songs,https://www.proactiveinvestors.co.uk/companies/news/908962/hipgnosis-songs-fund-having-a-ball-with-decade-s-top-pop-songs-908962.html,2019-12-11 09:39:00,"In the first half to 30 September, net income from the portfolio rocketed 68% to £22.6mln with profit before tax 76% higher at £12.6mln"
Small cap movers: ImmuPharma nearly trebles in value as US deal resurrects flagship Lupus drug,https://www.proactiveinvestors.co.uk/companies/news/908176/small-cap-movers-immupharma-nearly-trebles-in-value-as-us-deal-resurrects-flagship-lupus-drug-908176.html,2019-11-30 10:00:00,A look back at some of the more interesting stories from London's junior market this last week
Charteris pins its success down to producing gold miners,https://www.proactiveinvestors.co.uk/companies/news/908007/charteris-pins-its-success-down-to-producing-gold-miners-908007.html,2019-11-27 14:45:00,
"Burberry's catwalk turnaround still required, while UK retail sales growth could be grim",https://www.proactiveinvestors.co.uk/companies/news/906957/burberry-s-catwalk-turnaround-still-required-while-uk-retail-sales-growth-could-be-grim-906957.html,2019-11-14 06:00:00,Updates are also due from property developer Great Portland Estates and transport firm FirstGroup on Thursday
KR1 PLC adds three new investments to its blockchain technology portfolio,https://www.proactiveinvestors.co.uk/companies/news/906252/kr1-plc-adds-three-new-investments-to-its-blockchain-technology-portfolio-906252.html,2019-11-04 14:52:00,
KR1 expands portfolio of blockchain and crypto investments,https://www.proactiveinvestors.co.uk/companies/news/220238/kr1-expands-portfolio-of-blockchain-and-crypto-investments-220238.html,2019-10-30 14:25:00,"Founded in 2016, the company has invested in a number of projects that it believes will power the development of the decentralised blockchain infrastructure"
KR1 unveils three new investments,https://www.proactiveinvestors.co.uk/companies/news/905913/kr1-unveils-three-new-investments-905913.html,2019-10-30 09:04:00,"One of the investments is into Vega Protocol, a blockchain-based trading platform designed to improve access and innovation in derivatives and other financial products while protecting against market abuse and fraud"
Covent Garden owner Capco in play as Candy mulls bid,https://www.proactiveinvestors.co.uk/companies/news/905230/covent-garden-owner-capco-in-play-as-candy-mulls-bid-905230.html,2019-10-21 10:05:00,Reports suggest that the property investor has held early-stage talks with Saudi Arabia’s Public Investment Fund about a joint move on Capco
